Tag,Question,Responses
Bourne,I love the Jason Bourne franchise.,"Yeah, me too.-Matt Damon really turned the spy genre upside down with that one.-How so?-He created a spy that had human flaws and wasn't perfect.-I can see how that is true.-The first one in the series is my favorite.-Mine too.-We really get to know Matt Damon's character for the first time.-I agree and the action sequences were remarkable."
Terminator,Can't believe Terminator 2 came out 25 years ago.,"It's crazy, isn't it?-Still one of the better action movies I've ever seen.-The whole Terminator series was awesome, but T2 brought it to a whole another level.-Arnold was a complete boss in that movie.-He was overwhelmed.-The T1000 was the superior machine.-Yeah, but the T800 is no slouch.-Plus he looks like Arnold.-The rest of the series got pretty bad though.-Yeah, once James Cameron left the director's chair, it ran off the rails.-Think he'll ever get back in it?-I doubt it.-Doesn't change the fact they were great movies."
Expendables,The Expendables was an excellent movie.,"Sounds familiar, who's in it?-Sylvestor Stallone and Jason Statham.-Don't remember if I watched that one.-It's from 2010.-They were mercenaries.-Theres so many movies like that.-Yes, but not with those two in it.-True, then I guess I didn't see it.-It's an hour and fourty minutes but it goes so fast.-Lots of action with those two.-Thats why."
Face,Did you ever see Face Off?,"One of my favorites!-I know!-It was so good!-I think what was most compelling is Cage and Travolta trading off.-Yeah, they both get to play the good and bad guy.-Very cool.-And the action was super intense.-I didn't care much for the ""procedure"".-Yeah, that was a bit gross.-I'm shuddering just thinking about it!"
Cyborg,What do you think about Cyborg?,"I thought it was a terrific action flick
Did Jean-Claude Van Damme ever have a bad movie?-Never.-They were all some of the best action movies ever.-Did you like Bloodsport?-Yes, it was fantastic.-He was great in that one.-When did that one come out?-In 1988
Who directed it?-Newt Arnold."
Fall,I just saw Legends of the Fall.,"Wow, that's an oldie.-1994.
Who was in it?-Brad Pitt, Henry Thomas, Anthony Hopkins, and Julia Ormond.-She was a hottie in her time.-Who directed?-Edward Zwick.-He did The Last Samurai.-Right.-It has a cool ending, where Brad Pitt gets killed by a bear.-Cool."
music,transformers is a crap series!,"why, i like it
its crap because they do not have consistent main characters
isn't thats what makes a good movie?-the plot is pretty much the same
that is true.-they just keep fighting megatron, who just doesn't die.-that does get annoying now that you mention it.-and now on the new movie.-optimus is killing bumblebee
what?-thats not right!"
What,What type of action movies do you like?,"A combination of recent releases to those released a few years ago.-Can you give me a couple from a few years back?-RED, RED2, Slevin
What makes those your favorite?-Bruce Willis
What about more up to date?-Iron Man, Thor and The Avengers
If you could be an Avenger (from the movies) who would you want to be?-Nat..........That girl can kick A--!"
Wars,I can't wait to see the new Star Wars movie.,"What is the title going to be?-The Last Jedi.-I am assuming that Mark Hamill will be reprising his role again.-Yes, he will play Luke again, but from the trailers he seems a bit darker.-How do you mean?-The trailer shows him fearing that the Jedi's time is over with.-Well, everything must end at some point.-I hope that this isn't the last Star Wars film because the franchise is so great.-I hope so too.-There are so many memorable characters."
What,What's your favorite martial arts action flick?,"Probably any of the Ip Man trilogy.-Who stars in that?-Donnie Yen from Hong Kong.-He's incredible and super creative.-Nice, I'll check it out.-Yours?-Crouching Tiger, Hidden Dragon.-That choice means you've only seen one.-How do you know?-It's the only mass-market movie to hit American theaters."
